serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
65,600129,太极集团,-97164.249322,-203.91180479860526,-63146.293369000006,64.98922577967406,1227414.2308959998,-81000.416623,83.36442383717343,0.0,4909.469024,489396.31669300003,404314.138325,46932.378113,-48.302105394204425,2024FY,2024
68,600129,太极集团,-12079.825405,73.34694611327963,-16461.485487,136.2725448017351,208610.37673,-16732.045656000002,138.51231367197067,16904.174595,0.0,59716.610351999996,33870.0,21105.726494,-174.718804174637,2025Q1,2025
69,600129,太极集团,-6215.7951060000005,92.88927722373069,11481.872379,-184.72089544774,449337.431537,-27925.828601999998,449.27202595599834,28098.955404000004,0.0,253623.405705,232764.0,10219.152521,-164.40619979792493,2025H1,2025
71,600129,太极集团,-15540.121866,85.70657266190432,16637.262371,-107.0600508442628,669435.027646,-31492.796079000003,202.6547561888985,39627.9897,1284.6832,378219.309406,352710.950565,-694.1400610000001,4.466760730613695,2025Q3,2025
73,600222,太龙药业,-7551.42735,51.926362127800786,14351.856901,-190.05488943755776,184667.524732,13411.894369,-177.60740781012746,6662.318818,134741.331625,60769.53885,116456.95735999999,-12229.857512999999,161.9542497882867,2022FY,2022
75,600222,太龙药业,-6292.167128,45.813999991913484,-9226.834056,146.64000285276592,49086.127125,-1963.8810190000002,31.211520276706807,989.572797,5107.75211,12010.0,6340.0,4898.547947,-77.85152312947274,2023Q1,2023
78,600222,太龙药业,-11380.313475,49.43995748425218,-8800.1824,77.32811946992523,100848.391684,-5891.369974,51.76808166964838,1799.489573,12433.120154,19260.0,14440.0,3311.238899,-29.096201139573612,2023H1,2023
79,600222,太龙药业,-10840.776366,-739.3950888056085,-5268.972302,48.60327456366606,151421.99383800002,-3657.1279159999995,33.734926286920505,2958.025374,37650.620274,24015.413492,25190.0,-1914.676148,17.66179914941343,2023Q3,2023
82,600222,太龙药业,-7971.776755,-5.566489426664482,-5564.9507539999995,69.80816102896499,208728.75743,-15001.936032,188.1881102928603,4313.323525,53340.741801,66836.609815,60050.0,2656.401737,-33.32258063215169,2023FY,2023
83,600222,太龙药业,3034.361393,148.2244246103566,-11582.379388,-381.7073145841992,47917.190081,10027.349841,330.45997303195975,347.140243,31685.6805,21630.316484,12155.413492,4589.39094,151.24734155223942,2024Q1,2024
85,600222,太龙药业,10872.465506999999,195.5374870023077,-9195.174906,-84.57304279401842,98600.83451799999,9554.262253,87.87576513210088,731.0902679999999,42463.6805,37398.381173,21179.748703,10513.37816,96.69727766191755,2024H1,2024
88,600222,太龙药业,15443.972649000001,242.46186922033587,-9671.480767000001,-62.62301149326518,142016.422805,9595.934205,62.13384614884912,944.0372880000001,49942.161455,52829.900707,30669.501143999998,15519.519211,100.48916534441604,2024Q3,2024
90,600222,太龙药业,-3111.060984,60.974057859200535,-3958.571876,127.24186045721049,194886.904691,1825.095527,-58.66473001931999,3723.151919,52930.783529,83349.458588,55241.129876,-977.5846349999999,31.422869562109483,2024FY,2024
91,600222,太龙药业,22390.514118,637.898727872458,1095.044957,4.890664641414734,41480.462802999995,8944.561006999998,39.947992975334856,441.21584900000005,8395.441501000001,29470.978095,24247.979752,12350.908154,55.161342383250414,2025Q1,2025
94,600222,太龙药业,7459.052541,-31.395022258772382,-11168.16341,-149.72630033924838,82378.478609,9071.159151,121.61275310957753,661.135079,12201.978566,70263.576627,55354.097174,9556.0568,128.11354722967087,2025H1,2025
96,600222,太龙药业,17482.03296,13.196477080862765,-8898.904118,-50.9031423196676,119787.602792,8904.512182999999,50.93522134052766,1206.121187,12421.978566,83001.845051,88068.20099900001,17476.424895,99.96792097913995,2025Q3,2025
97,600252,中恒集团,41506.462952999995,317.08228950952105,-17009.044675,-40.97926796185996,283011.45443499996,25332.391645,61.03240276986558,20160.929456,46232.096817000005,183243.70105899998,146548.259784,32903.219454000005,79.27252074275299,2022FY,2022
99,600252,中恒集团,3023.00196,163.52235655928877,7760.812306999999,256.7253481701348,67545.01160299999,7497.673214,248.02078573577901,4728.422359,4911.527255,31665.577857999997,41637.114645999995,-12191.653745,-403.2962567116562,2023Q1,2023
101,600252,中恒集团,-14158.397196000002,-156.12434953842964,25133.935556,-177.51963875614948,156499.170212,-34768.978656,245.571431389302,8165.681296,8919.858548,-25000.0,102347.90802100001,-48276.541057999995,340.9746201472507,2023H1,2023
103,600252,中恒集团,22281.06928,-42.37556174903634,38639.210283,173.41721708878418,236076.003884,5646.486565,25.342080732491667,11509.019576,9215.331723000001,123305.45505799999,135397.908021,-22109.549614,-99.23020002386528,2023Q3,2023
105,600252,中恒集团,-69924.786274,-268.46722485888426,40302.514587,-57.636950693098655,320782.24772800005,-81205.103085,116.13207191910193,16692.478524000002,11959.009419,137282.76048,151592.684247,-29082.405852999997,41.59098282980903,2023FY,2023
108,600252,中恒集团,16417.377153999998,443.0819222492333,3586.169783,21.843743670871632,79218.86484299999,10471.928882,63.785638739794535,4753.713094,1002.778567,31294.0,28381.38612,2352.957302,14.332114563298045,2024Q1,2024
109,600252,中恒集团,24365.417075,272.0916339448625,21462.273063999997,88.08498125821635,165889.760605,15253.997528,62.60511560728127,8830.259113,8145.895611,67533.0,52556.143489999995,-4815.61264,-19.76412973017003,2024H1,2024
111,600252,中恒集团,66240.363146,197.29436372005216,44625.889773,67.36963333766806,240187.28353299998,61398.438088999996,92.69037060330128,11190.943434,58145.895611,104813.398531,108537.25261400001,-39726.085175,-59.972625885881634,2024Q3,2024
113,600252,中恒集团,120695.445547,272.6075287152904,47742.705513,39.55634390065574,302696.579462,123558.27858299999,102.37194785853387,19892.434048,102270.175114,149599.209182,130839.95965,-22040.111861,-18.26093085875172,2024FY,2024
115,600252,中恒集团,465.574245,-97.16413748290746,-7887.640134,-1694.1744992788422,59771.164980999994,-206.314886,-44.314067673567294,6363.321010000001,14109.832196000001,54871.963641999995,43198.07078,8564.885695,1839.6390665896909,2025Q1,2025
117,600252,中恒集团,6751.652729,-72.29001782231958,27392.035518,405.7085963610733,122850.559754,18736.489000999998,277.5096669371366,7515.795911,16486.262255,118131.07430899999,86701.000378,10080.715133,149.3073701747257,2025H1,2025
119,600252,中恒集团,616.092379,-99.069913947117,-15639.667388999998,-2538.5263512568135,180941.10268699998,-2367.455579,-384.26957704665904,9094.005331,19716.820249,156015.543584,102813.983373,18672.416755000002,3030.781972227577,2025Q3,2025
121,600285,羚锐制药,24198.794428999998,609.0376357803533,8152.162854000001,33.688301613201006,83615.804846,14237.358631000001,58.83499144047381,702.705251,318.73610299999996,3879.2765600000002,2000.0,1809.784934,7.478822712883339,2023Q1,2023
123,600285,羚锐制药,37804.397363,448.4785643977096,83490.97340700001,220.84989903506434,323452.862564,-8381.194353,-22.169892757509903,2699.388473,5.894767,9000.0,17000.0,-37308.980543,-98.6895259425961,2022FY,2022
125,600285,羚锐制药,12697.099949,-16.911930750027967,39317.280319,309.6555944028507,181961.163773,2129.2558010000002,16.76962306000983,884.1346619999999,318.73610299999996,6960.579701000001,2000.0,-28751.590077999997,-226.44218123418347,2023H1,2023
127,600285,羚锐制药,3854.133396,-87.95240248622122,50868.915263,1319.8535192319534,259300.57857600003,-18613.283718000002,-482.94342217936037,1094.880833,318.73610299999996,7377.601919,2000.0,-28402.083264999997,-736.9252785717539,2023Q3,2023
129,600285,羚锐制药,-2399.799785,-109.9170220733148,4490.629379,-187.12516798562842,76187.821797,-5744.053653,239.35553661198446,644.453653,318.73610299999996,3879.2765600000002,2000.0,-1146.444916,47.772523489912714,2024Q1,2024
131,600285,羚锐制药,31098.990106,-17.737109237886507,81342.874887,261.56114590777764,365870.701765,-22970.254603,-73.86173803299258,2119.8079989999997,809.402773,10284.444021,2000.0,-27273.392764,-87.69864446092762,2023FY,2023
133,600285,羚锐制药,-76337.917195,-701.2232517789405,29059.921693,-38.067480435402,177589.998616,-60906.390266999995,79.78523976678427,1684.6238190000001,349.959949,1708.666859,2000.0,-44491.664369,58.282523290947374,2024H1,2024
135,600285,羚锐制药,-71783.955535,,35004.945225,-48.76430250201592,257611.05657600003,-61750.226471,86.02232352728485,3361.509421,2111.148756,1097.296809,2000.0,-45038.364147,62.74154692553889,2024Q3,2024
137,600285,羚锐制药,-26189.820156,-184.21437502225234,87586.423313,-334.4292659945366,382570.21382600005,-66583.232334,254.23325527779923,11511.039218,3569.736017,4043.30039,10284.444021,-47193.788196,180.1989777512392,2024FY,2024
139,600285,羚锐制药,-65744.81873300001,,11761.590012,-17.889759586630937,89551.12321,-78577.378902,119.51873990422732,1174.347469,2335.283309,1134.0271890000001,2000.0,1072.2683769999999,-1.6309549522900801,2025Q1,2025
141,600285,羚锐制药,-69605.880663,8.818732262243243,35558.750675,-51.085842656253845,203555.375408,-92865.899126,133.4167433002025,3261.8221350000003,2394.182015,39807.036229000005,1000.0,-12296.840166,17.666381128824018,2025H1,2025
143,600285,羚锐制药,-76872.151519,-7.0882078677304605,49038.765636000004,-63.79262797643877,306516.413621,-119428.22776,155.35954880940423,3822.588511,2394.182015,51737.455827,7000.0,-6480.476203,8.4302001114126,2025Q3,2025
145,600329,达仁堂,42835.165981,44.7880796840903,67724.507823,158.10492680952828,855004.344071,-1227.978415,-2.866753021441969,10790.182243000001,46492.367544,20400.39402,2417.338553,-23661.960962999998,-55.239568754082846,2022FY,2022
147,600329,达仁堂,58234.038885,41.65495217453715,18696.6594,32.10606675748865,216451.02692600002,7188.027634,12.343343809957688,4447.7454880000005,964.855704,37285.602617000004,2097.7,32349.521395,55.5508805749907,2023Q1,2023
149,600329,达仁堂,-71000.566674,-411.5857984727171,30525.395333999997,-42.99317141250116,415947.878936,-48718.263867,68.61672539979931,7081.361859000001,145812.34134100002,56905.765271000004,2249.301687,-34443.484842000005,48.51156329518847,2023H1,2023
151,600329,达仁堂,-78277.02003300001,-839.7454808191097,8118.492706,-10.371489234742723,601828.262031,-48563.278841,62.04027544805194,8364.925664,4964.855704,71905.765271,20038.301687,-37750.678132,48.227025142353504,2023Q3,2023
153,600329,达仁堂,-71414.727945,-266.71985811068595,68848.78803899999,-96.40698777431993,947837.3004700001,-56891.134174,79.66302723692326,14092.770953,157851.941341,87085.765271,80096.083891,-83376.916276,116.75031002038216,2023FY,2023
155,600329,达仁堂,32152.65375,-44.78718226380495,-8929.940245,-27.773571396109098,170766.105775,11644.268119,36.215574022408646,1419.871353,964.855704,30000.0,2097.7,29443.919067000003,91.5753931104365,2024Q1,2024
157,600329,达仁堂,134011.876448,288.7476153018851,55521.456053999995,41.43025045660317,412053.577,6507.370572,4.855816323506987,3731.381985,4000.0,81545.543343,8046.395501999999,71989.870449,53.71902278894952,2024H1,2024
160,600329,达仁堂,-63964.188727,18.284844389791548,56760.900534,-88.73856084731455,604886.2703880001,-117561.883651,183.79328494691876,7978.2502079999995,4000.0,105536.58686699999,9927.913526,-3151.970229,4.927710789005158,2024Q3,2024
161,600329,达仁堂,94704.682416,232.61225680077743,92467.200413,97.63741142896015,808634.52102,194626.848823,205.5092143892967,11781.259879000001,308557.327098,122107.061367,52000.547742,-31988.828729,-33.77745208889018,2024FY,2024
163,600329,达仁堂,-148986.435681,-563.3721273504524,35552.572074,-23.862959007974954,120105.040077,-184516.533404,123.84787417766991,2400.488136,57000.0,30000.0,0.0,-22.318725,0.014980373815900524,2025Q1,2025
165,600329,达仁堂,68262.473673,-49.06237008069388,48774.137769,71.4508794431394,230811.085548,19590.067192,28.698150151784642,4181.51516,318346.666667,81545.543343,8046.395501999999,-99.14569399999999,-0.14524187106804964,2025H1,2025
168,600329,达仁堂,-189574.782797,-196.37643589307083,59032.994727,-31.1396873866993,353009.260087,-150649.160039,79.46687730103733,6287.923049,348346.666667,500.0,200.0,-97952.82495499999,51.66975454741235,2025Q3,2025
171,600332,白云山,-20866.502958,-106.4239585286909,699907.618274,-3354.2161793127043,7197002.236552,-725318.780071,3475.9958653873064,138387.361656,68467.42863,969599.8054040001,815060.3270350001,4594.984447999999,-22.020865006698834,2022FY,2022
172,600332,白云山,-190370.379851,-242.3924841032977,-283888.222133,149.12415595072878,1488523.084804,-63805.560471000004,33.51653787786716,23483.180921,20968.215158000003,529521.743339,363453.669008,157143.655379,-82.5462740064888,2023Q1,2023
175,600332,白云山,-101713.754263,-660.3256645607413,-74071.0271,72.82301949889242,3490359.478222,-95517.841452,93.90848085797786,75929.336038,131077.921752,648162.730281,471591.41166599997,67498.812085,-66.36153839181785,2023H1,2023
176,600332,白云山,-221757.163632,-72.71268702764971,90162.642754,-40.65827740456784,5252203.733038,-220917.442717,99.62133312798251,115718.526851,202067.11954100002,773412.987251,698518.834774,-91677.545439,41.3414132546971,2023Q3,2023
180,600332,白云山,-98115.521792,-370.205870094699,410362.499734,-418.24422093371527,7534348.85708,-311485.928133,317.46855384750904,162844.689799,242144.971373,960410.116266,937781.2966610001,-197800.076447,201.59916885151597,2023FY,2023
181,600332,白云山,-147909.57893599998,22.304310653912363,-313818.661677,212.16926174388502,1638018.490484,-28299.680088,19.13309488917225,31877.232950999998,4300.0,525482.4172060001,325124.018193,193965.546886,-131.1379210740153,2024Q1,2024
184,600332,白云山,-535205.6629359999,-426.1880920766382,-203674.049459,38.05528669889194,3531332.53219,-391467.874675,73.14344779677936,56467.138616,11500.0,706348.1997989999,509254.78901899996,59508.166461,-11.118747536144065,2024H1,2024
185,600332,白云山,-439884.81165200006,-98.36329273311637,-75136.22302,17.080885956899433,5385342.026889,-423980.55421599996,96.3844495161651,81197.63570299999,59000.0,850262.0927350001,618328.159678,58730.933249,-13.351434669552306,2024Q3,2024
189,600332,白云山,-352060.483158,-258.822413342866,344242.659759,-97.7794090012961,7582563.204572001,-596394.5573710001,169.40116426055866,112814.414874,149328.652858,995393.755691,839045.106987,-100622.14969800001,28.58092700305764,2024FY,2024
190,600332,白云山,-360380.40720300004,-143.64913333904866,-389725.80251199997,108.1428942091377,1566576.486472,-73865.226805,20.496460220544723,22649.555396,66221.0593,430843.94183,313454.971603,102577.79613999999,-28.46375499049219,2025Q1,2025
193,600332,白云山,-619613.0370939999,-15.771016639652682,-339713.626803,54.82673966904652,3454852.639347,-472277.46235299995,76.22135656925371,49720.545294,164827.0323,819617.229645,554135.250638,191831.069876,-30.959818207778895,2025H1,2025
194,600332,白云山,-438265.771404,0.36806004779290075,-197197.35860799998,44.99492579041051,5375680.556012,-342111.403478,78.06026064550603,90927.882721,663487.0589,973320.006115,799124.175532,100636.400877,-22.962414006142367,2025Q3,2025
196,600351,亚宝药业,6915.442297,181.97698606675354,9442.518027,136.5425033059169,67243.078012,-2900.860382,-41.94757554782038,2131.8354510000004,382.952453,13990.355556,13000.0,380.72725,5.505464923988506,2023Q1,2023
198,600351,亚宝药业,18531.813147999997,47.71224996926879,46046.258282,248.47141461152407,243837.024725,-9673.053251000001,-52.197014796924734,6223.175383,12466.6994,61952.68055599999,71260.0,-17863.630482,-96.39440209836073,2022FY,2022
200,600351,亚宝药业,-1022.821184,-13.194080384293255,29257.153039999997,-2860.4367505943246,139769.521174,-5499.259328,537.6559866010754,4931.22651,1552.001059,12990.355556,22000.0,-20998.610244,2053.008929858066,2023H1,2023
202,600351,亚宝药业,-13700.542844,-251.7308198732473,33453.514489,-244.17656197944444,207095.631289,-12715.208415000001,92.80806286130834,8005.994911,2124.982046,34860.0,53980.0,-34437.687448000004,251.3600215708358,2023Q3,2023
204,600351,亚宝药业,-7655.7633909999995,-141.3114643983243,49755.357983,-649.9072063994514,281159.651253,-12737.154023000001,166.37340226545675,9985.514675,6101.709818,34860.0,58940.0,-44675.250847,583.5505692289231,2023FY,2023
206,600351,亚宝药业,9431.197087999999,36.37879810075725,27935.777345,296.20606042200865,73869.789055,-900.2009439999999,-9.544927707484677,1014.605375,74.39326899999999,9000.0,9000.0,-17607.527397,-186.69451218873735,2024Q1,2024
208,600351,亚宝药业,3078.709415,401.0017257327356,34214.055026999995,1111.3116054507534,128693.79184,-2473.195114,-80.332203550948,1575.590789,487.05586100000005,9000.0,9000.0,-28667.119519,-931.1408013802433,2024H1,2024
210,600351,亚宝药业,-1440.916981,89.4827745337767,38242.034968,-2654.006821507505,184391.297492,-3879.580715,269.24387498768743,2832.152166,487.02392199999997,9000.0,20200.0,-35808.085782999995,2485.090137403273,2024Q3,2024
212,600351,亚宝药业,1279.425849,116.71193039356564,47169.457281999996,3686.767569911744,249239.791206,-3365.220305,-263.0258179972101,3466.1989740000004,2142.583933,9000.0,20200.0,-42526.651597000004,-3323.8856030803868,2024FY,2024
214,600351,亚宝药业,5699.65157,-39.56597962254354,14439.852845,253.34623823329605,51656.219318999996,-2685.677523,-47.120029882809135,1525.525325,508.95538899999997,9000.0,9000.0,-6058.645842,-106.2985301397994,2025Q1,2025
216,600351,亚宝药业,6270.077974,103.65929773856233,32729.88942,522.0013141099735,112902.26600399999,-6438.306368,-102.68303511850394,3118.575725,1028.1476480000001,14000.0,9000.0,-22023.044803999997,-351.2403656752355,2025H1,2025
218,600351,亚宝药业,6714.988155,566.0218627127138,45666.207339,680.0638554365403,163967.525149,-4457.601007,-66.38285733506257,3876.859499,14477.373617,19000.0,18000.0,-34498.853484,-513.7589626023696,2025Q3,2025
220,600422,昆药集团,8983.880625,84.04461393400426,25389.547483000002,282.6122534659125,835941.480061,-23460.337011,-261.1381204878822,10174.665883,236816.01895599999,119869.949258,86787.721548,6779.949948,75.46794343118289,2022FY,2022
222,600422,昆药集团,-37079.754949,29.757662036777987,-55688.916946000005,150.18685269790834,133235.526866,30329.565679000003,-81.79548575958955,1606.867162,58626.877971,13547.792162,24339.375,-11644.691067,31.404444508914004,2023Q1,2023
224,600422,昆药集团,-38077.437148000005,33.48527798850485,-28919.365714999996,75.94882397834637,348421.03047600004,24149.612897,-63.42236953378687,2899.659366,59358.397019000004,37857.807,67580.0,-31495.550841000004,82.71447135105912,2023H1,2023
226,600422,昆药集团,-49308.013924,-81.6028460080196,-3637.191828,7.376471973919125,539140.419509,-21719.060607,44.047729524203255,4526.016071999999,75396.410579,81189.986825,89708.080222,-24132.336582,48.942017050607504,2023Q3,2023
228,600422,昆药集团,-18324.946746,-303.97584864391496,35608.31603,-194.31606827328238,774288.433963,-33921.980767,185.11366628885045,6548.199538,169594.380215,97103.519724,100030.0,-20184.102525,110.14549076059834,2023FY,2023
230,600422,昆药集团,-52442.20182,-41.43082092136186,-10198.726598000001,19.447556059918313,149202.38495799998,-40781.377683,77.76442686936747,956.049747,25000.0,8344.168483,8075.259867,-1399.879721,2.6693763274945574,2024Q1,2024
232,600422,昆药集团,-6723.27565,82.34315081693167,2955.78629,-43.9634851205305,334503.88657,-18016.623462,267.97389248795713,1862.6976719999998,127612.54591500001,35685.271485000005,35245.292975,-2179.276798,32.41391416102358,2024H1,2024
234,600422,昆药集团,-16136.990844,67.27308694916722,21634.102707,-134.06528463789712,502252.879745,-10471.878209999999,64.89362428989426,3136.035199,228439.64518899997,51185.69624,59087.185013999995,-27277.270797000005,169.03567127660696,2024Q3,2024
236,600422,昆药集团,76709.102665,520.6615649069184,16195.79929,21.113269126259308,817559.817824,8602.800229999999,11.214836220376219,7943.1061469999995,326649.904869,77742.349064,84263.088037,-12799.006755,-16.685121205100202,2024FY,2024
238,600422,昆药集团,-105622.33825,-748.8780534158997,-13944.642872999999,13.202361455011625,162529.335157,-104372.082102,98.81629571100696,1324.802873,62237.974870000005,95362.144138,9462.077347,12690.877363,-12.015334609390736,2025Q1,2025
240,600422,昆药集团,-98871.654505,,-3145.47977,3.1813766905669927,378933.788473,-136218.368077,137.77292264297182,2632.596773,130291.86923599998,125353.94934600001,34849.670178,15360.775825,-15.5360764436517,2025H1,2025
243,600422,昆药集团,-141181.836196,-774.8776637007554,17616.366724,-12.477785527271044,543836.8562350001,-147488.004124,104.46669918589618,5802.586054,261140.23785900002,139219.913363,50556.938528,-11381.381048000001,8.061505186969981,2025Q3,2025
