serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
49,600129,太极集团,34970.284236,158.79262874391432,5525.591282,1405065.9364389998,15.648686562710765,766810.148684,12886.418275,14985.605661000001,2571.356428,1037.713783,537.381973,1349399.229806,42999.470616000006,44278.984243,-6156.628867,-209.874639,2022FY,2022
52,600129,太极集团,23496.403036,991.1596769003072,530.354976,442724.53771400003,25.267057003159277,216953.523507,165914.974562,18578.624766999998,2810.739892,3802.6695200000004,4810.172162,412870.70441,28303.058249,28433.330680000003,-37.574707000000004,-779.1715690000001,2023Q1,2023
53,600129,太极集团,56534.550511,352.8919279395659,892.6792119999999,905135.107742,24.84708552335773,451207.07129700005,321130.778817,35656.941643,6087.3113189999995,8861.142478,1204.366105,833619.559945,69020.275138,69226.869947,-20.0,-629.943383,2023H1,2023
56,600129,太极集团,75810.034035,206.50617401410486,7565.598984,1218274.163345,14.577912886540004,621423.185724,416245.416164,55200.395016999995,9579.013993,14893.271938,13849.242269,1131190.525105,91367.199051,91155.03954,-155.0,-468.608241,2023Q3,2023
57,600129,太极集团,82212.49180599999,146.6486805738334,11980.482861,1562264.841693,10.584012912580613,802998.434613,55848.933946000005,74035.613988,14665.799933000002,23362.394881,1627.530907,1456552.930646,102296.672734,102660.380497,-9944.751982,-79.498478,2023FY,2023
60,600129,太极集团,24683.863418,5.301865951750794,4246.728632,420767.32899099996,-4.959564436246457,225240.17534899997,139180.072846,16818.5255,2668.961366,5588.599736,4173.886399,393670.221196,29224.42168,29308.187174000002,181.12931899999998,-386.34224700000004,2024Q1,2024
61,600129,太极集团,49461.252774,-12.033069665971848,6480.479977,781716.5545569999,-13.635373562394108,416582.505777,38549.502519,6509.690338,5937.226669,11634.463448,1054.038157,724429.309706,59510.152331,59642.64626,0.0,-1012.569833,2024H1,2024
63,600129,太极集团,54507.471899000004,-28.085286704385076,7599.111019,1043381.8061190001,-14.355747046773132,602012.046366,288294.94925500004,52222.062956,9299.069698000001,18749.043719999998,11665.194379999999,982242.366375,66296.955586,66578.16784,-155.0,-935.7126119999999,2024Q3,2024
65,600129,太极集团,2665.272794,-93.99027371239781,14314.676736000001,1238601.698342,-20.717559194397012,751580.1256050001,46003.545638999996,14175.017326,2323.538619,5351.131995000001,1343.3762880000002,1206043.137607,38931.206376,32380.970285000003,-4318.937995,-802.068634,2024FY,2024
68,600129,太极集团,7454.404201,-69.83868407971487,1071.03786,282801.621723,-32.789073143782744,201174.13303199998,40438.178406,17493.637028999998,3309.189014,7644.605334000001,2470.175643,272529.918458,10280.148485,10255.357226,-8.949589999999999,-45.139336,2025Q1,2025
69,600129,太极集团,13879.731566,-71.63500671588949,5834.498548,565756.185263,-27.626429047084088,409039.184138,6228.629867000001,6538.5816079999995,1795.3704489999998,3318.2665920000004,255.469463,549841.8268520001,19692.018855000002,19787.440756,-9.166678,-937.1500050000001,2025H1,2025
72,600129,太极集团,16590.530672,-70.33030884175541,7152.568896,808773.698907,-22.485355393023067,577792.925479,124064.11682000001,54498.25345,10256.263411,19548.455402,8464.048967,794624.063529,24973.749904,24702.965366999997,10.385645,-816.0507150000001,2025Q3,2025
73,600222,太龙药业,-7214.0214590000005,,1299.6526789999998,196069.430941,22.19841751312393,148861.365195,13609.047971,4646.736374,4567.836262,5670.477447,526.520631,199461.762934,-7077.9316739999995,-8284.905268999999,-1731.3897,-2138.182193,2022FY,2022
76,600222,太龙药业,368.256668,51.77816371598837,129.088198,56031.791601,32.687958639233585,40683.957139,7864.238054,3324.314785,1268.077923,2418.724498,244.09195400000002,55803.404353,281.606362,281.246866,-47.231949,229.602659,2023Q1,2023
77,600222,太龙药业,-3833.179675,-77.16583345650741,348.207423,99390.97396,15.078882350397361,75024.172252,8237.491913,2841.3335190000003,1837.684005,3146.140734,296.76414500000004,103605.74146399999,-4825.965047,-4838.9851,-441.494,-435.232176,2023H1,2023
80,600222,太龙药业,-1692.6351760000002,66.49833991472939,778.799708,144286.962259,11.225695157976979,107793.05157899999,14423.073062000001,10403.711162,3951.344325,10202.129307,631.0362,147404.34563499998,-2074.0290649999997,-2099.0059739999997,-478.38127599999996,1037.5655060000001,2023Q3,2023
81,600222,太龙药业,4355.672478,159.17067699057387,1882.3220789999998,206990.873655,5.570191468187827,150518.641023,15149.29238,5207.589339,3557.872996,5750.205564,553.7759440000001,203585.848919,4416.652095,4296.246636,-246.21154900000002,402.644636,2023FY,2023
84,600222,太龙药业,2125.863934,524.0588259792141,157.752949,49911.155706,-10.923505603006213,36261.293979,4896.571238,3632.02986,1438.851052,2427.8145329999998,267.733288,48924.29395,1689.7377850000003,1689.5377850000002,-404.795437,703.668696,2024Q1,2024
85,600222,太龙药业,2661.799743,160.76026340585028,265.215696,92724.851493,-6.706969658716491,66619.22082999999,6432.7844079999995,2245.036884,1838.7074280000002,1853.3079260000002,280.205084,91437.865817,2184.392297,2176.1268600000003,-138.438718,588.514502,2024H1,2024
88,600222,太龙药业,2889.585799,253.41439188226468,691.900489,134067.31774600002,-7.08286067777584,98557.095551,12837.095143999999,10341.184652,4416.188395,7711.685970999999,741.086293,134604.336006,2467.225741,2442.0992079999996,453.201837,1130.752399,2024Q3,2024
89,600222,太龙药业,5052.531937,19.33151619954538,902.295885,194142.01116400003,-6.207453625426836,144456.146262,13028.266568000001,4722.28975,3423.601396,3722.675471,533.5234019999999,192175.480048,4821.766578,4811.2420649999995,-732.300967,354.982506,2024FY,2024
92,600222,太龙药业,153.057006,-87.17855826179445,141.231043,32327.419225999998,-35.23007277887215,23660.028506,3072.053757,2596.9539219999997,1460.541151,1317.201842,157.218071,32263.997249,263.56276,264.57455600000003,-38.728199,87.397588,2025Q1,2025
93,600222,太龙药业,1934.660025,-13.169471754582718,463.222794,76243.15500099999,-17.774842694942727,57417.27895299999,3910.940765,2035.9468160000001,1571.9890970000001,673.2006,208.61877900000002,74919.027242,2449.721631,2435.87257,980.766333,-403.896437,2025H1,2025
96,600222,太龙药业,2532.546125,1.760111218267807,607.124772,118690.21734500001,-11.469686020073143,89860.29916000001,8835.075053,9057.268668,4416.244603,3810.1656159999998,718.333661,116697.38676099999,3453.672046,3430.0494329999997,-17.821888,752.049926,2025Q3,2025
98,600252,中恒集团,7902.545961,-92.84521588628002,8720.394867,271376.98387199995,-14.17128288404648,110082.98368699999,112573.66634200001,32420.079842000003,-5844.973872,13485.557225999999,110.476487,267397.536834,4340.452046,6380.685306,-11730.713838,-4491.659487,2022FY,2022
100,600252,中恒集团,-1711.6845170000001,-150.60297538483366,1386.903733,66968.814545,4.556247932421075,24229.706679,33335.080001999995,8953.815567,-1762.232039,2517.4529190000003,1093.2565,68367.07962799999,-3119.910323,-3159.667073,-4.542801,-252.165425,2023Q1,2023
102,600252,中恒集团,8825.754531,-46.090073168397765,2586.8832620000003,147936.895169,24.350414135955052,51672.801514,69847.958992,18650.81292,-4490.071910000001,6086.316688,45.021134,144577.089823,7165.446467,2905.108628,-272.93509700000004,-1130.560108,2023H1,2023
103,600252,中恒集团,12046.453927,-37.71860227642829,4812.9990450000005,216574.716401,14.579805080808143,74318.59965399999,103267.083948,27287.883116,-6370.837235,8998.683854,3908.8990659999995,211410.312403,10588.463216,6839.1271480000005,-421.559663,-1021.250617,2023Q3,2023
106,600252,中恒集团,8430.878904000001,145.8036339075148,7765.642137999999,309654.205305,14.104814965094544,119357.848522,133279.336257,38097.857489999995,-8248.133262000001,15372.558750999999,112.74866399999999,303673.944914,13268.551201999999,8268.131183,-9258.382328,-1457.010403,2023FY,2023
108,600252,中恒集团,5471.119513000001,279.5442048064894,2634.721811,80589.609375,20.339011407835873,48951.454997,20902.903808000003,7444.029046,-1275.225269,2592.530081,990.5196869999999,79606.21235,5717.931464,5873.958475,-11.082874,-236.018415,2024Q1,2024
110,600252,中恒集团,2190.870657,-20.7661024347772,4288.277357999999,141096.306667,-4.623990853793067,84773.207786,38068.750463,16143.43126,-2393.049523,5078.286097,53.687597,143828.18926800002,-254.42046200000001,3439.9904920000004,-46.970123,-435.50951399999997,2024H1,2024
112,600252,中恒集团,1122.004444,-115.97999375816906,5861.184472999999,192686.47076700002,-11.030025125264203,114656.39665899999,53349.817146,23580.174328999998,-3278.267054,7816.551340999999,3186.442194,199311.114615,-3305.3342420000004,80.911689,-264.886934,-762.595116,2024Q3,2024
114,600252,中恒集团,-37697.914618,-547.1409807596023,7831.565627,227082.31887600003,-26.665837251481587,128960.407182,66615.72827,34928.268592,-4107.7797740000005,11750.142104,100.067136,242675.80787699998,-51707.823138,-50829.549725,-24019.182283000002,-5189.042562,2024FY,2024
116,600252,中恒集团,1826.71088,-89.56600472829392,792.2905559999999,74203.248062,-7.924546802656594,52222.292263999996,10948.923598000001,7254.793245999999,-278.180269,2555.768367,750.812971,73454.410177,457.936254,910.002891,6.964858,-77.968236,2025Q1,2025
118,600252,中恒集团,2707.762427,-66.45077527880824,2793.5711579999997,145104.97593699998,2.841087314539568,101146.80989199999,23079.266863,14782.261212000001,-1668.048464,4747.030649,64.366099,144095.10771500002,1847.026589,2773.464079,-218.467735,-847.013501,2025H1,2025
119,600252,中恒集团,2464.037494,-1.4492813800088618,4118.165781000001,194813.103049,1.1036749355233866,132623.099552,35162.896938,22876.427839,-3484.161644,7881.835118999999,2717.314536,197777.41234,785.179479,1105.97063,-398.756163,-1308.288074,2025Q3,2025
121,600285,羚锐制药,14424.638490000001,10.310769364521871,309.346748,78864.824906,15.616790876400122,18506.526391,37634.901913,3504.489868,-581.950133,2120.520259,1091.980555,62276.468853,17062.999652000002,16995.293118999998,-3.228082,-250.077353,2023Q1,2023
123,600285,羚锐制药,46533.082706,28.367362839549564,3875.489251,300186.221398,11.447931901674266,83211.381397,144350.06819000002,16940.837942,-2658.757568,12506.557601999999,3029.726522,258441.71215700003,51712.148202,51703.452824,-17.050465,-351.405191,2022FY,2022
125,600285,羚锐制药,31698.110619,17.147351553835566,1026.135487,170066.249556,13.175383742032023,41975.505427,79146.151673,8428.370481,-1537.60795,4328.487749,1682.413038,134726.37319800002,36548.515062,36445.336263,-20.010617,-470.910556,2023H1,2023
128,600285,羚锐制药,46618.204218,14.989726966331382,1540.4612,250678.083345,10.090199454015151,63604.344715,114887.45361199998,12671.84828,-2445.687633,6645.163723,3458.5063979999995,198821.629095,53909.688296,53787.681386000004,-19.605337,-555.911702,2023Q3,2023
130,600285,羚锐制药,19037.863992,32.007380525444646,291.517018,90904.68677,15.266453553089699,22183.244812,41410.850486,3489.5968439999997,-802.089034,2039.311338,1328.860758,69649.77520399999,22082.641861,22082.015171,-0.377452,-222.240302,2024Q1,2024
131,600285,羚锐制药,56810.930285,22.09534454133054,1663.02006,331147.260654,10.313944161664388,88438.742468,150378.339473,17420.739433000002,-3574.434923,10965.185595,3464.2094909999996,268330.353191,65630.72353999999,65304.416992,-287.326984,-594.144314,2023FY,2023
133,600285,羚锐制药,41303.284254000006,30.30893909823458,1402.053132,190600.71732999998,12.074393260044422,45664.171835,85490.559092,8362.924898000001,-1264.107093,4718.992733,1844.980712,145474.816902,47671.655333999995,47909.665048,-47.372566,-347.36937,2024H1,2024
136,600285,羚锐制药,57387.309386,23.107073697544813,2122.723158,275911.620214,10.06611209575586,68971.513463,122563.329838,12062.598994,-1319.393267,7448.992762999999,3568.539276,213295.58106700002,66267.666558,66510.505905,-40.890553999999995,-1020.340018,2024Q3,2024
137,600285,羚锐制药,72255.072015,27.189706752017408,4362.419056000001,350083.128692,5.718262020529049,84656.20464400001,159693.004901,16665.650254,-1912.627482,13152.531954,3545.129032,276814.876885,81030.16845499999,82757.299686,-50.175411,-571.904483,2024FY,2024
139,600285,羚锐制药,21681.754012,13.87345321042979,409.29677999999996,102075.587055,12.288585640544303,23714.930575,47088.751737,3749.3615649999997,-209.78598799999997,2279.957217,1410.297117,78033.512223,25368.413759,25366.889256,-0.444536,-299.02196299999997,2025Q1,2025
142,600285,羚锐制药,47438.580653,15.190359809308388,1192.946394,209920.551581,10.136286222653759,39197.200689,99449.73543500001,10657.78389,-498.041339,6306.086263,1992.880809,158008.223998,55147.107275,55154.754275,-3.568224,-638.234775,2025H1,2025
144,600285,羚锐制药,65093.260977,13.874812661572111,1649.5599619999998,304136.163917,10.22955962532812,57729.90155,143738.733038,17699.336627,-511.25409400000007,10460.077384999999,4090.872215,233207.66672100002,75836.458713,75755.879281,-5.821676999999999,-962.530234,2025Q3,2025
145,600329,达仁堂,86179.390684,10.977694434599497,667.452757,824924.956518,19.423767108181384,495559.18730299996,155479.38999,25885.228001,-6723.315791,12204.282279000001,5834.352003,749280.889751,98004.96360700001,98018.84359199999,-5587.363392,1505.948501,2022FY,2022
148,600329,达仁堂,40078.839652999995,96.68220273299687,717.208786,215440.577685,14.032298400294332,110349.229388,59035.071328,6828.966506000001,-420.93883099999994,2419.535276,2098.599818,180310.463485,45459.519564999995,45478.852015,105.41418700000001,-631.585563,2023Q1,2023
149,600329,达仁堂,72249.14886,49.48110067573695,812.787347,408830.884202,8.306348372891357,217246.43192600002,84560.024875,9333.315072,-3440.156288,3546.505165,3197.353,347064.261582,80889.278912,80873.59073099999,-591.446966,-975.596756,2023H1,2023
152,600329,达仁堂,85819.19731799999,12.83973179896476,957.529943,579303.978416,4.134959857009743,319418.399704,145460.199758,25419.384209,-1612.597611,8649.428536,5302.209672,502637.02426800004,96195.111463,96128.52306,-1718.290757,-1665.6469869999999,2023Q3,2023
153,600329,达仁堂,98670.737783,10.930084685196258,2176.489424,822231.184905,-0.32654747461761174,460408.339591,172468.755102,25229.956091,-5148.6543950000005,16039.339895,6249.891349,736020.000289,109697.538259,109536.360435,-7186.185611,-2329.601343,2023FY,2023
156,600329,达仁堂,38732.616582,-3.6203064816516815,831.8108129999999,208558.839055,-3.1942629860851635,101061.67748,55334.791863,11149.042908,68.858366,2473.5005109999997,2261.0141129999997,172348.885241,44077.558973,44053.668841000006,-144.641882,-592.771037,2024Q1,2024
157,600329,达仁堂,65771.925485,-8.859013108768158,1660.5986289999998,396474.07853,-3.022473631393902,198514.968116,81968.139585,16714.785391,-598.705003,3812.870738,3231.5628890000003,334139.85446,74784.650154,74764.89289500001,-1575.921153,-868.3464630000001,2024H1,2024
160,600329,达仁堂,80385.581593,-5.806250620199789,1832.917164,561093.255642,-3.1435521682060408,286342.587753,147505.243395,34464.637699,585.484121,9879.743520999999,5870.551092000001,484648.24758100003,91943.293061,92341.118508,-1246.740341,-2935.320702,2024Q3,2024
161,600329,达仁堂,222933.423614,128.67820921735108,3119.905605,730673.605869,-11.135259853538463,378601.501144,157671.772207,32764.051475,-431.00530499999996,14297.782955,5719.253636,649768.856132,256672.649552,257878.2876,-13131.997222,-5009.6413600000005,2024FY,2024
164,600329,达仁堂,37424.776007,-3.0247358903551174,314.62417999999997,145529.995225,-30.22113285420542,38047.095617,54394.26528099999,8672.803598999999,-46.116977,2577.834482,2229.8134489999998,105875.69545099999,43883.788452,43668.895598,-880.4176,-550.3482799999999,2025Q1,2025
165,600329,达仁堂,192762.296441,195.32715628717554,1283.326627,265051.90615500003,-33.14773385999701,67130.910912,82723.509497,15665.541153999999,78.908964,5180.79737,3742.8837359999998,198311.742218,226961.831514,226702.26537600002,-850.717459,-1000.2169240000001,2025H1,2025
168,600329,达仁堂,215218.218452,170.59938256580205,1480.242203,366986.1317,-34.594449673059,91808.98750399999,141715.29558399998,30378.656005,-2946.684039,10462.172878,5919.039735,277337.467667,252259.495681,252021.07238000003,-1053.485096,-963.512353,2025Q3,2025
171,600332,白云山,396652.221854,7.165171032255609,48042.286561,7078815.506844999,2.5706398350572206,5751095.174555,587543.916965,221826.999406,-16245.552413999998,81945.434998,29766.200376,,507439.96093,504324.40712399996,-798.3747940000001,-4514.638509,2022FY,2022
172,600332,白云山,190860.046068,4.097653905094809,3671.330261,2162852.102204,5.307163524621926,1659336.620191,186567.325072,62933.488725999996,-3525.150711,17938.951016,10026.175014,1933277.4093080002,235275.91084099998,235498.66513699997,-150.58927,-7426.633938,2023Q1,2023
174,600332,白云山,281124.805683,6.286487114771866,8132.350716,3997033.058793,7.388089068345901,3164549.741224,326310.974852,119946.83878699999,-3968.1640869999997,40057.399579000004,17384.507146,,353328.924905,353269.156946,402.131475,-10048.891673999999,2023H1,2023
177,600332,白云山,379125.018992,6.62171830674976,20450.830878999997,5818454.951602,6.164725528868898,4651411.526838,470747.328914,177240.392779,-4384.408644,57948.053351,24901.805696,5377864.698934,475626.218504,475243.296983,370.386704,-13865.050134000001,2023Q3,2023
180,600332,白云山,405567.869149,0.1400683663118914,33778.444595,7551540.399478,6.678022504978267,6132810.961488,610473.774338,242153.98320100002,-1956.078189,78214.423486,34416.208269,,512089.668131,511049.802962,-352.1096,-8314.447348,2023FY,2023
181,600332,白云山,195811.812391,3.182745274605031,13858.618723,2294621.189184,6.092376212211815,1786726.272547,188823.800811,64407.958564,-1990.9730149999998,18613.900055000002,10086.083737,2066667.042699,245225.084221,245234.186677,-722.080145,-6903.997345000001,2024Q1,2024
184,600332,白云山,254956.53020799998,-8.683549966919111,18441.239675999997,4104281.5087949997,2.6832014753059354,3324405.566685,311941.517054,121287.34918699999,-5966.891674,39114.531141,16805.387553,,322609.534463,322940.337672,-131.628619,-8212.856251000001,2024H1,2024
185,600332,白云山,315897.699891,-16.27206072254654,22274.817569,5906000.030402,1.504610408230391,4860374.132607,423070.484048,175891.210937,204.27066399999998,57851.307886,23535.607529,5540927.013671,400106.835599,400603.780235,-478.903018,-8786.17283,2024Q3,2024
189,600332,白云山,283549.61635100003,-29.5491830808784,34306.171588,7499282.047356,-0.6920224134086848,6247276.868169,561961.9395890001,240763.38124899997,3822.9086780000002,76377.00554299999,29668.386144,,359639.391256,360757.987176,-40728.312603,-6329.804343,2024FY,2024
191,600332,白云山,182131.32541199998,-8.577717134143455,8231.442836,2247340.839277,-2.060486067585438,1786364.271971,158663.29166400002,60595.063580999995,5195.008248,14371.307216,10375.302695,2035564.245375,222736.721328,223098.682477,-214.390648,-9225.15083,2025Q1,2025
193,600332,白云山,251614.098667,-3.45234385958854,12565.679541,4183454.611381,1.929036846433205,3417130.785709,302847.783476,120213.238279,12313.756886,28528.515935000003,18155.80086,,302653.025048,309041.632911,-678.731276,-14830.95351,2025H1,2025
194,600332,白云山,331005.207786,3.303878274964479,18445.244249,6160599.379554,4.310859259082497,5076076.747632,431586.980987,179146.43263,20193.636892,44372.166439,26130.565032,5777506.529612,411515.275411,418410.261942,-915.4190609999999,-19466.68927,2025Q3,2025
197,600351,亚宝药业,10741.983615000001,54.94563694557828,803.40068,80049.916906,15.296586731283767,33077.736022000005,23875.950181,6796.532212,225.079969,2726.3743670000003,983.669742,67685.34249299999,13049.644486,12995.972818,-68.2929,-52.75309,2023Q1,2023
198,600351,亚宝药业,10465.507339,-43.07641861217704,2506.0521940000003,271813.478552,-1.658043347744821,119937.563196,89746.575362,26724.832468,1082.854039,13061.635226,1681.5099469999998,253949.196108,12354.783601000001,12564.749020000001,-6805.938992,-803.9656610000001,2022FY,2022
200,600351,亚宝药业,16802.746572,69.40933257638072,1184.547316,153283.635403,18.464445149465455,65543.399432,48579.292658,13066.867299,-355.258883,5179.729607,941.124743,134651.88404,19174.397041999997,19148.377242,-136.419253,-435.176933,2023H1,2023
203,600351,亚宝药业,21381.598255,97.96175796124822,2054.930435,219944.428352,11.494845574384778,94886.186737,71075.740262,19857.860647999998,371.754352,8457.040125,2776.100346,197424.68247,24529.423054,24481.469422,-108.949872,179.099736,2023Q3,2023
204,600351,亚宝药业,19958.578980000002,71.99453102780505,3321.169129,290976.525674,7.050072433525006,122634.185174,12014.576064,18633.946287,-875.572567,8652.043722,1702.41764,262074.051725,22633.503235,21898.122265,-9374.925415,317.568085,2023FY,2023
207,600351,亚宝药业,11226.432374,1.14481072503911,1119.434924,77121.341314,-3.6584367669474593,33633.87518,20063.829284,6674.875712,-18.123754,3101.28412,1005.7933640000001,64461.533906,13693.824792,13738.736627,-23.538429999999998,-83.583603,2024Q1,2024
208,600351,亚宝药业,17977.438513,5.161968738496676,2184.990086,144368.643798,-5.816010027137906,65997.79022899999,4932.4973820000005,9387.412825,-547.980089,4300.085959,1030.4639949999998,124640.212914,21214.158597,21280.611258,-598.865234,-122.94659899999999,2024H1,2024
211,600351,亚宝药业,23493.313546,7.513503102569791,2688.762407,212150.981879,-3.543370719319757,102362.807191,51481.961699,20045.878172999997,-44.592944,8991.176962000001,2657.062372,185494.293453,28837.377198000002,28401.133398,-680.602231,136.26728400000002,2024Q3,2024
212,600351,亚宝药业,24268.846241,24.45718089969005,4543.406660000001,268603.756867,-7.6888569465103975,129785.313807,13647.417649,17585.048596,-1175.145709,9021.070948,1931.1001489999999,239154.200925,50566.106108,50256.458441,-4216.291981,487.517546,2024FY,2024
