table_name,source_name,report_type,page_number,source_method,warning_text,stock_code,stock_abbr,report_year,report_period,total_operating_revenue,operating_revenue_yoy_growth,net_profit_10k_yuan,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,eps,roe,serial_number,net_profit_yoy_growth,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,net_asset_per_share,operating_cf_per_share,asset_cash_and_cash_equivalents,asset_trading_financial_assets,asset_accounts_receivable,asset_inventory,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_short_term_loans,liability_accounts_payable,liability_advance_from_customers,liability_contract_liabilities,liability_total_liabilities,liability_total_liabilities_yoy_growth,equity_unappropriated_profit,equity_total_equity,asset_liability_ratio,total_operating_expenses,operating_expense_cost_of_sales,operating_expense_taxes_and_surcharges,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_rnd_expenses,operating_expense_financial_expenses,other_income,credit_impairment_loss,asset_impairment_loss,operating_profit,total_profit,net_profit,operating_cf_cash_from_sales,operating_cf_net_amount,investing_cf_cash_from_investment_recovery,investing_cf_cash_for_investments,investing_cf_net_amount,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_ratio_of_net_cf,investing_cf_ratio_of_net_cf,financing_cf_ratio_of_net_cf,operating_revenue_qoq_growth,net_profit_qoq_growth
income_sheet,600080_20230819_U8CH.pdf,全文,37,pdfplumber.combined_pages,,600080,金花股份,2023,2023H1,25536.954371,-1.2947579232426152,,,,,,5,-85.82896187541772,,,,,,,,,,,,,,,,,,,,,,25237.721380000003,6114.849754999999,422.585174,14539.8983,2465.372142,523.333912,-79.191243,3.18119,835.7663259999999,-882.835957,2323.061353,506.584259,304.2638,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20230819_U8CH.pdf,全文,40,pdfplumber.combined_pages,,600080,金花股份,2023,2023H1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26076.045174000003,-3584.4088450000004,5811.101323,833.3043150000001,7788.405105,9900.0,9900.0,-555.449053,3793.823913,-21.55702938092927,-94.48010575075945,205.29168679421522,-14.640875953590946,,
balance_sheet,600080_20231028_F42E.pdf,全文,6,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q3,,,,,,,,8,,,,,,,44058.095602,19387.463948,11331.779362000001,2843.854088,40614.62838,205883.10419,4.275304566275119,7640.539044,1466.457001,33.709932,155.29761399999998,37167.507148000004,23.5061149380535,48432.638338,168715.597042,18.0527233131767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20231028_F42E.pdf,全文,8,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q3,40280.503175,-4.808064430837196,,,,,,8,-89.34854320780569,,,,,,,,,,,,,,,,,,,,,,39958.307661,9291.415305,686.4660769999999,24088.989091,5162.776233,886.027209,-157.366254,22.235042,640.421178,2055.6716,2055.6716,193.603353,339.02983,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20231028_F42E.pdf,全文,11,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q3,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40935.379393,-1194.931466,5811.101323,1617.430314,-4851.472524,17540.539044,9900.0,6736.6210200000005,690.21703,-87.37998977455167,-173.12401955657336,-702.8908753526409,976.0148949092143,,
core_performance_indicators_sheet,600080_20231028_F42E.pdf,全文,1,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q3,40280.503175,-4.81,339.02983,2001.6164670000003,-36.94,0.0091,0.02,11,-89.35,76.93321936761033,0.8416722813195097,1.186384959122492,4.5285452701380295,-0.03207350910862328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22123356727635513,121.22083014282583
balance_sheet,600080_20240427_0WKP.pdf,全文,80,pdfplumber.combined_pages,,600080,金花股份,2023,2023FY,,,,,,,,9,,,,,,,62044.955212,5682.717463,11394.601873,2624.708722,11083.145859999999,210855.114195,6.793519257168258,0.0,928.4769699999999,33.709932,71.870823,47012.46165,63.983177399256085,44438.412777,163842.65254500002,22.296097407683746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20240427_0WKP.pdf,全文,84,pdfplumber.combined_pages,,600080,金花股份,2023,2023FY,56540.341011000004,-2.4114093856084313,,,,,,9,-228.18653487223298,,,,,,,,,,,,,,,,,,,,,,57089.503987000004,13375.203790000001,783.090414,33864.129273,5318.886890999999,1508.976504,-135.473581,93.343972,887.0796429999999,-2273.272441,-3289.987634,-4105.4617259999995,-4289.058025,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20240427_0WKP.pdf,全文,87,pdfplumber.combined_pages,,600080,金花股份,2023,2023FY,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57651.814848,6054.842538,13989.0,6911.799158,13776.085637999999,17540.539044,17540.539044,-1121.519526,18709.40865,-31.809707519072145,32.36255432370386,73.63186028864679,-5.994414612350669,,
core_performance_indicators_sheet,600080_20240427_0WKP.pdf;600080_20240427_W39O.pdf,全文,6,pdfplumber.combined_pages,,600080,金花股份,2023,2023FY,56540.341011000004,-2.41,-4289.058025,300.47191499999997,-21.2,-0.1149,-2.58,12,-228.19,76.34396335282479,-7.585836852603273,0.1833905337424113,4.389197037599066,0.16220377611146913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.284423731066914,
balance_sheet,600080_20240427_IBMB.pdf,全文,6,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q1,,,,,,,,12,,,,,,,36403.211057,8671.926073999999,9666.071736,3173.797523,13463.667512,181501.320477,-13.92130981980994,2123.8497399999997,1131.52863,0.0,99.713342,27283.751588,-45.00386908653153,46834.655491000005,154217.56888900002,15.032260655898325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20240427_IBMB.pdf,全文,8,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q1,11578.927068,6.955285563634125,,,,,,12,411.9153608649703,,,,,,,,,,,,,,,,,,,,,,10906.994744,2714.308924,139.719674,6521.833135,1366.810489,232.953304,-68.630782,20.795,-759.892679,2827.019302,2827.019302,2790.534078,2396.242714,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20240427_IBMB.pdf,全文,11,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q1,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12058.880353,-4921.284823,4385.03769,6384.577125,-10078.275169,20652.268902,18535.309668,-10674.621365,-25674.181356999998,-358.4398767569592,19.168224897103585,39.25451420966996,41.57726089322647,,
core_performance_indicators_sheet,600080_20240427_IBMB.pdf,全文,1,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q1,11578.927068,6.955285563634125,2396.242714,423.949297,80.37113399658259,0.0648,1.5068,15,411.9153608649703,76.55820001231913,20.69485972169524,0.2749033719401599,4.17040327577067,-0.1330830364834236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.788176211919286,151.77608526621196
balance_sheet,600080_20240817_5X5X.pdf,全文,32,pdfplumber.combined_pages,,600080,金花股份,2024,2024H1,,,,,,,,13,,,,,,,30790.586452,8229.371567,8467.292813,3087.04882,18200.15954,178790.484464,-15.2069490244123,4262.333283,742.687446,0.0,829.4219559999999,28951.533242,-39.380628853996605,45384.702156,149838.951222,16.192994458734454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20240817_5X5X.pdf,全文,36,pdfplumber.combined_pages,,600080,金花股份,2024,2024H1,24596.548281,-3.6825303297245746,,,,,,14,211.00951838503295,,,,,,,,,,,,,,,,,,,,,,23309.240127,5740.478682,265.856052,13893.003691,2306.169848,842.1920460000001,-100.252927,94.235077,-772.755139,959.851111,959.851111,924.980958,946.2893789999999,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20240817_5X5X.pdf,全文,40,pdfplumber.combined_pages,,600080,金花股份,2024,2024H1,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27037.580699000002,-2309.937207,0.0,12009.143970000001,-17797.798507,29823.485644999997,25568.042868,-11608.912678,-31716.648392000003,-936.0073930505589,7.283043209517192,56.11500397844432,36.601952812038476,,
core_performance_indicators_sheet,600080_20240817_5X5X.pdf;600080_20240817_6AW9.pdf,全文,5,pdfplumber.combined_pages,,600080,金花股份,2024,2024H1,24596.548281,-3.68,946.2893789999999,1003.137973,-42.39,0.0261,0.6,20,211.01,76.66144608414699,3.847244614119195,0.6694774388228065,4.132770285371871,-0.06371133655374146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.425107581651774,-160.50945200703904
balance_sheet,600080_20241030_XN72.pdf,全文,5,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q3,,,,,,,,16,,,,,,,26091.557513,9380.923582,10704.555074,2917.300688,25404.458625,185977.965133,-11.798219434693664,4262.333283,882.618477,0.0,61.308401,34008.286762,-28.03162748373582,47515.429305,151969.67837100002,18.286191451594476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20241030_XN72.pdf,全文,8,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q3,41893.121976999995,4.003472337457953,,,,,,16,807.5946290625814,,,,,,,,,,,,,,,,,,,,,,40208.682347,9223.41901,396.05873399999996,25071.748426,3648.108757,2028.303238,-158.955818,437.80190300000004,-843.667525,1.467784,3285.41929,3245.72417,3077.016528,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20241030_XN72.pdf,全文,10,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q3,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41534.546726,-75.866364,0.0,18988.883531,-24629.118828,29823.485644999997,25568.042868,-11606.524678,-36311.50987,,0.20893200054641517,67.8273057666164,31.963762232837162,,
core_performance_indicators_sheet,600080_20241030_XN72.pdf,全文,1,pdfplumber.combined_pages,,600080,金花股份,2024,2024Q3,41893.121976999995,4.0,3077.016528,1736.871925,-13.23,0.084,1.35,23,807.59,77.98345271315944,7.344920556862132,1.1429068901230515,4.148646218504811,-0.0020710888349183415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87046391184617,246.95142923341047
balance_sheet,600080_20250425_6GSD.pdf,全文,4,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q1,,,,,,,,17,,,,,,,16771.103280000003,9727.080924,11054.92765,3489.929119,41464.021363,199184.514512,1.0027011992201207,7946.943762000001,635.7206,0.0,66.527008,43114.788141000005,6.845358335014934,51332.109125999996,156069.726371,21.645652648565974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20250425_6GSD.pdf,全文,7,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q1,10732.261751,-7.312122375654995,,,,,,18,-94.93579931235631,,,,,,,,,,,,,,,,,,,,,,9951.660625,2552.513127,105.16796799999999,5361.153918999999,901.143477,1169.1377109999999,-137.455577,49.951376,0.766221,1.7935990000000002,68.676156,63.094877000000004,121.53058700000001,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20250425_6GSD.pdf,全文,9,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q1,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9777.890416,-12136.852052,0.0,5285.115956000001,-13257.469895999999,13630.792394,9139.509939,3447.3274969999998,-21946.994451,14.5172570613777,55.30074780443112,60.40676743049859,-15.707515234929694,,
core_performance_indicators_sheet,600080_20250425_6GSD.pdf,全文,1,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q1,10732.261751,-7.31,121.53058700000001,1067.46218,151.79,0.0034,0.0778,25,-94.93,76.21644732283795,1.1323856035162034,0.6839649205653697,4.366284099832415,-0.33954659477453186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.55380264933017,-97.22793433731
balance_sheet,600080_20250425_LXGH.pdf,全文,78,pdfplumber.combined_pages,,600080,金花股份,2024,2024FY,,,,,,,,19,,,,,,,34768.097731,2502.144588,11302.044047,3190.14552,37369.070738999995,197207.11639100002,-6.472689958744961,3455.661307,781.883682,0.0,97.38180799999999,41258.740560000006,-17.85852548849169,51210.578539,155948.37583099998,20.921527232413272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20250425_LXGH.pdf,全文,82,pdfplumber.combined_pages,,600080,金花股份,2024,2024FY,58546.178623,3.5476220626433035,,,,,,19,271.60068700632695,,,,,,,,,,,,,,,,,,,,,,56987.338228,12681.132312,536.924618,35054.473074,5191.338666,2643.590902,131.47107,872.060901,-998.478832,-26.010928,4901.905634000001,4203.928014,7461.132987999999,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20250425_LXGH.pdf,全文,85,pdfplumber.combined_pages,,600080,金花股份,2024,2024FY,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58578.828505,1085.87252,13989.0,22086.047946000002,-19230.359387,97152.56170800001,93701.118831,-10036.732061,-28181.218928,-250.6259201196078,-3.853177972089455,68.23821012189542,35.61496785019405,,
core_performance_indicators_sheet,600080_20250425_LXGH.pdf;600080_20250425_P7ID.pdf,全文,6,pdfplumber.combined_pages,,600080,金花股份,2024,2024FY,58546.178623,3.55,7461.132987999999,1377.488674,358.44,0.2088,4.79,26,271.60068700632695,78.33994872037952,12.744013637585008,0.8832978648605956,4.364219338521835,0.030388170609029225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.720488585255535,105.75682165863269
core_performance_indicators_sheet,600080_20250822_ODWZ.pdf;600080_20250822_ABVM.pdf,全文,5,pdfplumber.combined_pages,,600080,金花股份,2025,2025H1,24129.296366,-1.9,619.501143,678.99573,-32.31,0.0176,0.4,32,-34.53,76.585982229632,2.567423158981643,0.43662916388493594,4.417991323956605,-0.23536758138184752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.829555277588184,309.7491572224529
balance_sheet,600080_20250822_ODWZ.pdf,全文,32,pdfplumber.combined_pages,,600080,金花股份,2025,2025H1,,,,,,,,21,,,,,,,17823.294938,900.1559869999999,11537.466775,3229.756688,45694.481572000004,192962.095656,-2.1525697513792954,3455.661307,492.5892,,31.314916999999998,37453.534579,-10.674599226886901,50771.941573000004,155508.561077,19.40978846217014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20250822_ODWZ.pdf,全文,36,pdfplumber.combined_pages,,600080,金花股份,2025,2025H1,24129.296366,-1.8996645775738257,,,,,,22,-34.65811106815772,,,,,,,,,,,,,,,,,,,,,,23184.833834999998,5649.637739,267.030579,13705.073647,2064.110013,1540.036319,-229.33447,70.56346500000001,-771.30137,17.193207,535.7840769999999,532.451361,619.501143,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20250822_ODWZ.pdf,全文,39,pdfplumber.combined_pages,,600080,金花股份,2025,2025H1,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22712.56221,-8284.686687000001,0.0,10770.463704,-9293.517303,15215.877584,15215.877584,-2531.904099,-19918.764301,37.19776423153155,41.5923727085022,46.65709761189066,12.711150454613735,,
balance_sheet,600080_20251030_IVCB.pdf,全文,4,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q3,,,,,,,,23,,,,,,,23546.738144,11165.715887,11438.916399,2805.614427,47426.091973,195675.16216500002,-0.776825022360053,6230.300724000001,796.603924,0.0,39.30168,37361.184820999995,-11.5167180297431,53600.564816000006,158313.977344,19.093473288907134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20251030_IVCB.pdf,全文,7,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q3,38390.836363,-8.360049212667427,,,,,,24,11.268158323002675,,,,,,,,,,,,,,,,,,,,,,37142.600825,9002.093645,441.49887,22422.031459,3382.889561,2233.099127,-339.011837,-274.389556,746.195701,25.843259,3477.8953149999998,3533.5900020000004,3448.124386,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20251030_IVCB.pdf,全文,9,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q3,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38132.204904000006,-5772.128863,0.0,12437.407915,-5310.375427,79713.333677,76934.47583,837.1831950000001,-10245.321095000001,71.78492127790996,56.3391699437996,51.83220103849756,-8.171370982297162,,
core_performance_indicators_sheet,600080_20251030_IVCB.pdf,全文,1,pdfplumber.combined_pages,,600080,金花股份,2025,2025Q3,38390.836363,-8.36,3448.124386,2535.219733,45.96,0.0978,1.8,34,12.06,76.55145212289263,8.98163393315183,1.6013871772618204,4.490298275522593,-0.16371631055231892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.452960724846234,468.0302196421429
balance_sheet,600085_20230328_GGS9.pdf,全文,64,pdfplumber.combined_pages,,600085,同仁堂,2022,2022FY,,,,,,,,25,,,,,,,1162398.643344,42.858404,130114.84347200001,669436.842837,3621.412092,2704449.18895,7.863715845052903,30953.2,344728.603101,0.0,62457.264925999996,859042.3576469999,0.5274786521722722,726243.354828,1845406.831303,31.764041312254136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600085_20230328_GGS9.pdf,全文,69,pdfplumber.combined_pages,,600085,同仁堂,2022,2022FY,1537242.336317,5.26821417655706,,,,,,25,16.32308054515824,,,,,,,,,,,,,,,,,,,,,,1266390.834237,787013.2037300001,16733.540027000003,307145.221852,134217.301528,21744.626351,-463.05925099999996,9154.804142,557.63778,-8733.65308,272143.808417,271693.788683,142581.17053099998,,,,,,,,,,,,,,,
cash_flow_sheet,600085_20230328_GGS9.pdf,全文,72,pdfplumber.combined_pages,,600085,同仁堂,2022,2022FY,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715747.806391,309429.628427,0.0,33002.868033,-21139.357965,172640.0,178235.196988,-131022.92284300001,173540.280971,5.158561264513303,178.30421081242127,-12.181239909674089,-75.50000617141734,,
core_performance_indicators_sheet,600085_20230328_GGS9.pdf;600085_20230328_KEHR.pdf,全文,5,pdfplumber.combined_pages,,600085,同仁堂,2022,2022FY,1537242.336317,5.27,142581.17053099998,139857.54306199998,15.67,1.04,12.71,35,16.17,48.80356953897297,9.275126449652882,7.578683501634691,13.460564935801552,2.2570077967911817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balance_sheet,600085_20230429_VQ9H.pdf,全文,5,pdfplumber.combined_pages,,600085,同仁堂,2023,2023Q1,,,,,,,,27,,,,,,,1257187.37186,41.10584,162779.81971500002,640078.217929,10767.818668,2791433.758153,3.179605302229456,29974.1,354544.534584,0.0,65104.653577,868920.4417950001,0.8429122630435146,778900.8028760001,1922513.3163580003,31.12810537800246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600085_20230429_VQ9H.pdf,全文,8,pdfplumber.combined_pages,,600085,同仁堂,2023,2023Q1,514306.972663,30.082486285669034,,,,,,28,46.222126532025804,,,,,,,,,,,,,,,,,,,,,,415023.50643400004,275174.555865,4406.015874000001,93415.394948,39494.765462999996,4519.402347,-1986.6280629999999,978.063384,-489.302587,-139.297483,99584.350223,99414.108124,52335.560608,,,,,,,,,,,,,,,
cash_flow_sheet,600085_20230429_VQ9H.pdf,全文,10,pdfplumber.combined_pages,,600085,同仁堂,2023,2023Q1,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568588.95063,114542.79381300001,0.0,5041.881197,-678.916745,31980.0,1000.0,-15311.782608000001,94680.264332,21.229547353185062,120.97853192651773,-0.7170625787644108,-16.172095331619104,,
core_performance_indicators_sheet,600085_20230429_VQ9H.pdf,全文,1,pdfplumber.combined_pages,,600085,同仁堂,2023,2023Q1,514306.972663,30.08,52335.560608,51948.817511,31.13,0.382,4.34,38,30.85,46.49604798469098,10.175938377233107,2.7021304387847667,14.032525462935348,0.8360538557005077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_performance_indicators_sheet,600085_20230830_IR3F.pdf;600085_20230830_7BHH.pdf,全文,6,pdfplumber.combined_pages,,600085,同仁堂,2023,2023H1,976069.624505,30.02,98652.628949,97903.035348,33.22,0.719,8.0,42,32.69,46.10052700463837,10.107130318601023,5.305227751805432,13.44969237862674,1.7249533933852348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.21652896303036,-11.499814269840856
balance_sheet,600085_20230830_IR3F.pdf,全文,76,pdfplumber.combined_pages,,600085,同仁堂,2023,2023H1,,,,,,,,29,,,,,,,1162398.643344,42.858404,130114.84347200001,669436.842837,13602.349068000001,2704449.18895,-0.03560032159609188,30953.2,344728.603101,0.0,62457.264925999996,859042.3576469999,0.0,726243.354828,1845406.831303,31.764041312254136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600085_20230830_IR3F.pdf,全文,36,pdfplumber.combined_pages,,600085,同仁堂,2023,2023H1,976069.624505,30.021068034118905,,,,,,29,43.10864550767853,,,,,,,,,,,,,,,,,,,,,,788678.0862,526096.383676,3482.952565,26894.778593,9821.291344,3178.811876,-3269.885546,1851.295929,1266.215884,-3572.976271,186785.477443,186401.064965,98652.628949,,,,,,,,,,,,,,,
cash_flow_sheet,600085_20230830_IR3F.pdf,全文,39,pdfplumber.combined_pages,,600085,同仁堂,2023,2023H1,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065095.1033309998,236677.589808,0.0,13336.895543999999,-4354.2979270000005,23000.0,23902.072156000002,-47261.013597000005,193138.12475,28.631096158567278,122.54317479490801,-2.254499432795182,-24.470059268813525,,
