serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
87,600222,太龙药业,36945.774218,82378.993754,51947.881403,2829.4,3035.4086989999996,372455.24549899995,4.129256927336193,35891.065602999995,0.0,210461.540451,21.31437031744853,757.580048,60034.31011599999,56.5065314542778,24901.687951,161993.705048,2024Q3,2024
89,600222,太龙药业,18003.980583,92120.308051,9855.527263,2675.31,2920.382681,348976.802093,-2.434734035932058,22889.278152000003,0.0,186352.587155,8.7486607340034,654.074302,66342.145418,53.399706237590614,25845.380794,162624.21493800002,2024FY,2024
91,600222,太龙药业,40394.494700999996,88375.913755,36481.993682,-8001.505493000001,2987.35376,356553.077502,2.1709968581180843,17577.946881,0.0,193450.559817,-1.3249583188573804,661.776565,69507.261169,54.255753777897176,27510.560656,163102.517685,2025Q1,2025
93,600222,太龙药业,24363.033124,93546.508974,13758.187941,200.00698500000001,2857.821313,357903.263035,2.557895220674637,14557.571516,0.0,192390.85988,-13.34493388625209,374.215514,71249.075298,53.75498905724862,29717.577243,165512.403155,2025H1,2025
95,600222,太龙药业,34386.013543,99214.52084299999,47869.812487,0.0,2996.446844,373830.197319,7.121790066543389,21300.273172,0.0,208881.16173800002,6.061429914074933,594.074497,63858.54461900001,55.875946682754396,30315.463343,164949.035581,2025Q3,2025
97,600252,中恒集团,354988.965907,83615.326926,68983.951264,47189.706951,12316.084568,1175184.886382,-1.1596115044745237,42833.219876999996,332.923752,346247.055007,-4.869262250154964,5703.25635,114864.9499,29.46319843109781,236545.560787,828937.831375,2022FY,2022
99,600252,中恒集团,358011.967867,87312.16775,76861.538599,60936.947448,12479.277701,1168160.7709040002,-0.5977030133211464,55561.583375,917.800638,344926.678105,0.44916072139882735,3997.4547270000003,104059.2199,29.52732934509288,234833.87626999998,823234.092799,2023Q1,2023
101,600252,中恒集团,341595.28243,71610.129565,76818.610297,42436.610834,11891.66899,1138499.559473,-3.1216642873907157,53057.050495999996,444.97936,314618.69313699997,-11.509906166181661,4258.633194,82926.85,27.634502843605297,241946.106614,823880.8663359999,2023H1,2023
103,600252,中恒集团,378527.88851,67892.388809,75317.95657200001,58857.281032000006,12611.924899,1167208.767173,-0.6787118606975908,49952.637008,498.51921799999997,336417.164464,-8.058700021657847,5668.641261,101192.72,28.822364424044572,245166.80601,830791.602709,2023Q3,2023
105,600252,中恒集团,296422.028023,88114.901101,77612.219713,44350.941230000004,10362.250754,1166596.0096149999,-0.7546687308111532,52532.270158,406.24991,338914.597887,-1.8739726796159255,5768.708602000001,102834.16772,29.051582132434056,233421.184529,827681.4117279999,2023FY,2023
107,600252,中恒集团,310344.689383,102122.105027,76178.02953500001,62946.038597000006,10465.66303,1169623.607964,0.2595241475238084,53980.41474099999,406.444008,339985.861597,2.3690914569689108,4919.941831,106896.7816,29.06797189130133,238892.304042,829637.746367,2024Q1,2024
109,600252,中恒集团,319337.331529,77997.704014,14448.663056,39874.861614,10153.98732,1137756.0007530001,-2.4721504809121977,46862.021833,410.60744700000004,334892.281848,3.0914978428683906,3492.2286409999997,121630.0168,29.434455333688287,232229.490882,802863.718905,2024H1,2024
111,600252,中恒集团,356645.605242,58668.666476,76793.559651,55235.402361,10325.208982,1141178.193881,-2.178801875242856,44666.462980000004,392.157038,321464.195977,-6.6215386672252965,4930.119657,103659.73620099999,28.169500407621857,231160.624669,819713.997904,2024Q3,2024
113,600252,中恒集团,405474.882646,52366.784085,12586.723419,5273.533982,5338.086289,1097902.799283,-5.88834607403381,50368.524018000004,404.875295,346428.259771,6.920429343787244,3546.241449,130404.25856300001,31.553636624047193,192216.60335699999,751474.539512,2024FY,2024
115,600252,中恒集团,406314.994105,74950.16073999999,72620.825472,8784.848070999999,5382.976143,1097588.350157,-0.028640889357910884,52036.222301,421.85052300000007,350047.72401199996,1.7238727109817025,3329.6290879999997,142630.22191,31.892441639156328,194043.31423699998,747540.626145,2025Q1,2025
117,600252,中恒集团,413204.412107,86008.905202,12380.173875,4816.359254,5273.944483,1103291.597023,0.4908264869639911,55029.083678999996,425.91270999999995,370269.449829,2.0037518858925383,3367.859514,140907.424122,33.560434143438975,194924.365784,733022.147194,2025H1,2025
119,600252,中恒集团,405705.846238,80107.26229,67971.84671499999,8107.026829,5109.3244460000005,1106425.351924,0.7762574835008983,46853.036287,427.55638600000003,380165.744208,4.142457945021316,2833.1969329999997,158305.809392,34.35981863095572,194680.640851,726259.6077159999,2025Q3,2025
121,600285,羚锐制药,142128.362104,21192.986787,49156.834725,18.536804,178.402518,449146.214719,3.3855092692851794,7345.990387999999,6.484,178498.131328,-0.3733972656612954,6220.020722,8150.292818000001,39.74165326978744,152492.983918,270648.083391,2023Q1,2023
124,600285,羚锐制药,117929.567675,19597.326458,48641.133798,15042.128288,192.406879,434438.26692299993,14.534209378203894,6802.057505,6.3916,178591.684212,19.079785343543705,15375.478238,9381.145478,41.10864484312421,138068.345428,255846.58271100002,2022FY,2022
125,600285,羚锐制药,130625.710599,26690.887325,45527.067667,18.132732,88.373572,434587.107807,0.03426053718846171,7288.432826,6.424,179568.028719,0.38099160394559184,5170.485595,6961.690812000001,41.31922587973919,135920.854747,255019.079088,2023H1,2023
127,600285,羚锐制药,121782.744046,29482.835833999998,45461.343381,20.2036,88.373572,463207.81721300003,6.622241289600585,7495.544714,7.4976,191334.026482,7.382082544752853,6113.0239409999995,10178.713029999999,41.30630342838483,150840.948346,271873.790731,2023Q3,2023
129,600285,羚锐制药,146628.482394,28409.904744,45938.319757,6043.643305,344.20762,498155.43169700005,4.393138589301949,8304.200934,8.179501,203986.460609,3.972167301504739,10728.348856,2809.915076,40.948356201618914,180062.10485899998,294168.971088,2024Q1,2024
132,600285,羚锐制药,149889.52302999998,25840.26986,46735.285433,20.607672,287.917256,477191.73733900004,9.835049635576485,5737.767921,9.973301,197322.043539,10.993962952897137,11447.723023,14122.083563,41.35068319483939,161024.24086700001,279869.6938,2023FY,2023
133,600285,羚锐制药,72689.683561,31092.796210000004,43915.886361000004,5072.834685,244.43181,471397.15131899994,-1.2143097976324753,9117.235185,6.1523,200299.024906,2.0473521067689227,9079.774371,1859.7513789999998,42.490503887337944,157212.811761,271098.126413,2024H1,2024
135,600285,羚锐制药,77243.645221,40546.510885,42485.564851999996,20.607672,1821.37792,488556.257805,2.381541752875434,8494.722656999998,6.3023,198397.44751099998,0.9385722867070506,3943.1189409999997,1252.861907,40.608925654205294,173653.03383,290158.810294,2024Q3,2024
137,600285,羚锐制药,122837.7806,31937.059537,43497.367893,20.607672,3419.822714,501684.32077299996,5.132650362007468,8512.831345,6.3223,193655.114373,-1.359052222389458,11428.028801999999,3327.477088,38.600989976049945,189519.005574,308029.2064,2024FY,2024
139,600285,羚锐制药,57092.961867,43334.314187,38441.722704,0.0,4153.387771,541089.578092,7.8545921583285745,8579.15138,22.0523,206702.729635,5.963340779026998,6370.6958859999995,8135.965923000001,38.201203276521966,212030.32844100002,334386.84845700004,2025Q1,2025
141,600285,羚锐制药,53231.899937,49309.529755,41185.366596,5001.111111,435.61759800000004,557222.74696,11.070393051436394,11795.160779,8.3523,247191.91771999997,27.722592410579217,5323.085657,45666.59313,44.361419031901896,186746.76134300002,310030.82924,2025H1,2025
143,600285,羚锐制药,45965.629081,53285.173971,40727.680811,32572.329821,652.811467,575568.772488,14.727279417694014,9177.113161,12.9123,247240.24078400002,27.700606671556482,4691.874132,51668.426592,42.95581216389823,204401.441667,328328.531704,2025Q3,2025
145,600329,达仁堂,288252.39546100004,214621.341631,142945.179545,0.0,33385.089952999995,1015698.2039409999,12.020368537521852,72432.643425,0.0,360502.890058,36.95846057995504,21907.463938999997,10163.851528,35.493110912199754,426371.339164,655195.3138829999,2022FY,2022
148,600329,达仁堂,345530.727955,244028.76595700003,146363.55185299998,0.0,34108.440553,1086652.785966,6.985793786942813,68673.173562,0.0,393382.081932,6.8185142249111275,12807.364,35127.679573,36.201267508120885,466782.796817,693270.704034,2023Q1,2023
149,600329,达仁堂,210395.842622,251504.267831,167779.865815,0.0,34590.061206,1036400.553689,2.038238294374556,68641.08044199999,0.0,397435.698902,8.396975991953273,12437.136916,53016.930045,38.34769264521846,412685.165416,638964.854787,2023H1,2023
151,600329,达仁堂,201989.27656099998,259819.412103,167459.238703,0.0,36046.03097,1028170.1203620001,1.2279155730125342,60319.13334099999,0.0,376445.144228,2.107625774401146,11814.195148,53016.930045,36.61311846870832,426255.21387399995,651724.976134,2023Q3,2023
153,600329,达仁堂,212520.001292,217269.987667,156651.75359100002,0.0,38645.796484,1023010.094068,0.7198880630712216,61538.293579,0.0,358486.443355,-3.015282778616627,14565.876209999999,8180.0,35.042317317659936,439127.133939,664523.650713,2023FY,2023
155,600329,达仁堂,245761.49968200002,258684.40523000003,148336.378612,0.0,43178.247475,1105062.2609950001,8.020660539205405,62220.324972,0.0,402289.51855,13.579033883235207,12427.808335,38180.0,36.40424008216313,477859.750521,702772.742445,2024Q1,2024
157,600329,达仁堂,345412.555442,259799.813694,155497.157666,0.0,42888.463047000005,1190110.530725,16.334192362904755,70221.841392,0.0,559028.45488,62.39136703984951,14942.284969,80220.0,46.97281810786491,406318.800096,631082.075845,2024H1,2024
159,600329,达仁堂,145463.59715699998,237232.10941799998,163071.428758,0.0,44061.143203,1096952.994924,7.227973730148259,61389.485196,0.0,451563.586506,29.66381519331475,6350.845435,102329.5255,41.16526310567078,420932.456205,645389.408418,2024Q3,2024
161,600329,达仁堂,294443.268621,75629.252226,128568.77775499999,0.0,43635.247835,1076862.5044290002,5.264113294020013,28451.298693,41.823701,291868.871732,-12.83932932507409,12314.316289,2165.324751,27.103633985915565,563502.670225,784993.632697,2024FY,2024
163,600329,达仁堂,145456.83322200002,108557.474445,120490.88073499998,0.0,44110.104562,1116786.7980270002,3.707464363722978,26426.958101,11.1904,294626.039543,1.0426079670603587,9475.511987,7243.160762,26.381583312366207,600927.446232,822160.758484,2025Q1,2025
165,600329,达仁堂,362705.742294,122572.732468,109859.239655,0.0,45661.642631,1285346.164569,19.360285949462693,21972.849345,10.3601,405234.342337,40.333834828635936,11091.328875,696.5173599999999,31.527253397366493,657692.8890979999,880111.822232,2025H1,2025
167,600329,达仁堂,104868.485824,102743.10134600001,120525.38766,0.0,46769.01265,1158515.680798,7.582507147678603,20011.792687,10.5,256105.955026,-12.111790868916076,7653.125018000001,1488.09156,22.106386583355615,680148.811109,902409.7257719999,2025Q3,2025
169,600332,白云山,2249955.277075,1485759.176849,1067157.251876,5687.268,210832.659135,7466529.877674,12.927699252055824,1120034.7828209999,0.0,4102744.069752,15.940002869973636,564420.157624,853806.5161819999,54.948471873390545,1826213.3346759998,3363785.807922,2022FY,2022
171,600332,白云山,2024592.4699779998,1595135.88827,894510.4669540001,5687.268,206642.433113,7365830.017556,-1.34868354868716,1109042.6568870002,,3805734.9122220003,-12.050089664709033,178458.667533,862101.9016110001,51.66742788187165,2017073.380744,3560095.1053339997,2023Q1,2023
173,600332,白云山,2088597.065047,1610251.642817,916256.118307,5687.268,215119.89620100003,7360723.9439860005,-1.4170697154025302,1194916.717473,0.0,3823220.26606,-11.621427873656716,140037.77461700002,854692.193154,51.940818527554214,1988330.242891,3537503.677926,2023H1,2023
175,600332,白云山,1987396.722877,1652184.65178,965738.679549,5687.268,236733.95926799998,7435333.076196001,-0.41782195998816474,1262055.764225,,3797738.4691699995,-12.585578721460857,119929.639313,816101.27188,51.07691115181305,2086330.456201,3637594.607026,2023Q3,2023
178,600332,白云山,2130884.420444,1511249.4798690001,1150709.974241,400.0,240517.17216999998,7858687.776408999,5.252210935465584,1184183.185237,0.0,4190905.385729,-3.1015427521884242,542988.5396189999,779903.564376,53.328310081355845,2095933.0809099998,3667782.39068,2023FY,2023
180,600332,白云山,1975446.0865099998,1671557.29299,984875.59184,400.0,251740.713996,7870349.02685,0.1483867379997805,1128788.0297,,3999023.619546,-5.83760655349111,184903.520143,948123.512145,50.81126143075962,2291744.893301,3871325.407304,2024Q1,2024
182,600332,白云山,1622531.210465,1671961.040335,1075110.267663,400.0,269036.407629,7797066.081675,-0.7841219359672474,1195243.792725,596.083672,3985485.4261410004,-5.474823435175689,144963.43271300002,924234.36326,51.11519364325845,2229117.8690380002,3811580.6555339997,2024H1,2024
184,600332,白云山,1718762.1128029998,1668245.360294,1134334.300198,1400.0,283105.440786,7925554.04997,0.8508579989871432,1269413.110918,525.453028,4120245.3235029997,0.06978939881642515,120635.023866,941470.361184,51.98684278127654,2225027.400761,3805308.726467,2024Q3,2024
186,600332,白云山,1827315.0112580003,1572598.266117,1281190.2453790002,400.0,184619.293295,8168361.152064,3.9405226987717943,1173466.6536690001,454.82238600000005,4391397.577425,7.397205369582251,507197.725892,912298.245132,53.761060458441804,2181533.653532,3776963.574639,2024FY,2024
188,600332,白云山,1451083.173602,1764830.306031,1082292.080201,,192895.256231,8004779.945033,-2.0026196685692126,1201110.944464,386.30936,4040887.974627,-7.21246063664619,117406.56208599999,900502.838472,50.48093766942823,2363664.978944,3963891.9704059996,2025Q1,2025
190,600332,白云山,1182722.341043,1846752.6775259997,1131698.479682,0.0,184600.22112,8241965.505183999,0.9010908277653792,1324383.682339,288.134072,4260842.088432,-2.714726624979573,87252.306624,1026509.6043860001,51.69691726751382,2368116.114239,3981123.416752,2025H1,2025
192,600332,白云山,1370845.63629,1913481.7688169999,1108068.571539,,187896.48818800002,8316926.028803,1.8187843800400556,1289128.7336219999,217.50342799999999,4318523.266512,-3.0227542153551274,86578.045488,1021915.7438180001,51.92451215216034,2382475.5853979997,3998402.762291,2025Q3,2025
194,600351,亚宝药业,76109.715188,46842.694872,41875.12036,700.376,2659.984828,421237.470712,1.9681997075004332,15376.535606,4.285807,109721.738119,-2.3717591305697434,4515.282274,42037.493055,26.047478144226332,112967.871297,311515.732593,2023Q1,2023
196,600351,亚宝药业,66850.342196,43368.011434,22601.84773,0.0,2583.256152,413106.705738,1.3341745175348716,18944.540809000002,8.814228,112442.50074300001,3.507348206816156,10839.125136,41026.224444,27.218754665849737,102225.887682,300664.204995,2022FY,2022
198,600351,亚宝药业,66005.143241,46949.571418,39267.249572,444.81705,3083.955117,402211.008326,-2.637501948203725,15918.291408000001,87.357644,95774.746769,-15.77032218331098,3373.976078,33019.861110000005,23.81206500727416,115188.63413900002,306436.261557,2023H1,2023
201,600351,亚宝药业,58343.260403,41037.742497,40606.448972000006,601.878968,7191.917431,397176.9016,-3.8560991426033606,15007.185585,71.702401,89106.253841,-21.71340075890173,3797.295074,23881.958333000002,22.434903309341895,119775.862654,308070.647759,2023Q3,2023
202,600351,亚宝药业,61764.256990999995,34681.246884,44213.034325,0.0,5741.012352000001,385363.6709,-6.715706729678485,16280.677182,99.61760500000001,86033.081375,-24.523069510019578,6632.536243,20022.0,22.325166556067284,116197.469181,299330.589525,2023FY,2023
204,600351,亚宝药业,66568.381465,38024.532976999995,43219.946082,19.7022,5891.651266,379711.07484,-1.466821209897295,15947.370711000001,23.727877,86570.996008,1.7558093207634715,4303.373272,20020.9,22.79917593777813,127423.90155499999,293140.078832,2024Q1,2024
206,600351,亚宝药业,59958.837297000005,42431.340963,25351.695329,1003.609592,5770.339723,375394.10223200003,-2.5870546241986174,20374.14483,86.719611,86512.04753,0.9194869394480073,3296.564394,20019.0,23.045659752143376,123374.906284,288882.054702,2024H1,2024
208,600351,亚宝药业,55141.374128999996,44052.807272000005,35489.645807,1039.025142,5368.626534,369323.502873,-4.162345658982053,19644.692061,25.748306,70841.092829,-18.856751000526696,3571.0601810000003,9006.75,19.18131185205407,128890.781317,298482.410044,2024Q3,2024
210,600351,亚宝药业,57859.445398,28234.434511000003,41304.873541,0.0,1535.415098,354394.257434,-8.036412304686708,18254.430657,38.373768,64902.304455,-25.901723240405833,8006.002959,9007.425,18.313588071354957,125191.525943,289491.952979,2024FY,2024
212,600351,亚宝药业,63559.096968,31450.318032,36665.496105,1240.932908,1553.902461,356913.512187,0.7108621824858873,17217.891836000003,6.970743,62566.897944000004,-3.972766208603086,4340.354568,9006.4625,17.52998858480284,135918.449297,294346.614243,2025Q1,2025
